Trace metal concentrations in filtered water (0.45 um) analyzed at Trent WQC,,,,,,,,,,,,,,,,,,,,,,,
York Sample ID #,Province,Lake,Station,,Sampling Date,Sampling depth (m or range if integrated),,Fe ppb,Fe RSD,Co ppb,Co RSD,Ni ppb,Ni RSD,Cu ppb,Cu RSD,Zn ppb,Zn RSD,Mo ppb,Mo RSD,Mn ppb,Mn RSD,V ppb,V RSD
TMF-315,Ont,227,,,2017-08-21,0,,73.102,2.311,0.187,5.735,1.27,9.358,1.407,3.811,7604.723,1.746,0.069,11.467,2.557,3.749,5.572,2.28
TMF-312,Ont,227,,,2017-08-21,epi,,73.397,6.038,0.151,8.292,1.066,6.84,0.424,7.656,648.219,4.963,0.062,23.131,2.318,5.305,1.053,9.944
TMF-314,Ont,227,,,2017-08-21,hypo,,3769.417,3.346,1.812,0.792,1.785,5.49,1.714,1.017,8051.27,3.054,0.109,12.812,391.415,2.125,7.869,5.264
TMF-313,Ont,227,,,2017-08-21,meta,,148.721,9.042,0.092,7.565,1.149,8.696,0.694,3.962,3879.538,9.532,0.011,63.008,0.951,4.611,4.762,8.245
TMF-316,Ont,227,,,2017-08-23,0,,78.123,1.362,0.158,5.018,1.456,14.454,0.637,2.421,1309.408,1.271,0.068,15.574,2.256,2.855,1.409,3.813
TMF-317,Ont,227,,,2017-08-23,8,,4195.633,5.882,1.762,2.534,1.292,10.959,0.247,4.894,264.838,6.52,0.117,2.346,408.697,3.957,0.626,4.397
TMF-318,Ont,227,,,2017-08-30,0,,77.98,2.416,0.159,5.947,1.447,7.987,0.727,0.508,2803.859,2.249,0.06,20.053,2.56,4.893,3.006,0.354
TMF-319,Ont,227,,,2017-08-30,8,,4084.026,4.934,1.692,4.347,1.37,7.144,0.24,5.472,101.53,5.487,0.123,12.107,390.877,3.932,0.717,6.674
TMF-320,Ont,227,,,2017-09-06,0,,91.553,5.549,0.121,3.037,1.211,9.839,0.365,2.576,15.196,3.008,0.072,7.256,2.115,4.011,0.129,9.423
TMF-321,Ont,227,,,2017-09-06,8,,4431.903,3.765,1.797,3.744,1.372,7.07,0.49,5.719,14.936,2.699,0.13,4.321,403.219,4.188,0.494,11.101
TMF-322,Ont,227,,,2017-09-10,0,,85.868,2.255,0.13,6.455,1.238,13.815,0.281,3.165,1.656,1.47,0.07,11.26,1.896,2.446,0.145,20.805
TMF-323,Ont,227,,,2017-09-10,1,,91.004,1.688,0.142,7.728,1.241,8.224,0.372,1.444,6.315,6.227,0.074,6.657,2.097,2.959,0.126,15.354
TMF-324,Ont,227,,,2017-09-10,3,,99.012,7.282,0.134,10.047,1.146,11.349,0.381,4.712,37.672,8.12,0.058,17.365,3.943,5.129,0.103,15.985
TMF-325,Ont,227,,,2017-09-10,4,,570.651,2.362,1.124,3.91,1.522,7.479,0.146,10.958,126.6,2.785,0.102,3.853,255.302,2.831,0.135,5.698
TMF-326,Ont,227,,,2017-09-10,5,,972.486,2.972,0.83,5.286,0.909,8.281,0.317,1.708,5.611,5.653,0.112,5.834,161.985,4.891,0.156,13.664
TMF-327,Ont,227,,,2017-09-10,6,,1002,5.446,0.741,6.119,1.381,4.296,0.13,3.796,4.162,6.101,1.643,6.924,158.876,5.769,0.161,2.64
TMF-328,Ont,227,,,2017-09-10,8,,5324.129,1.285,1.872,5.928,1.368,9.152,0.149,5.592,9.944,2.169,0.502,8.999,430.954,5.708,0.517,2.132
TMF-329,Ont,227,,,2017-09-10,10,,10360.432,4.038,3.25,3.397,1.372,10.723,0.25,5.879,19.391,5.31,0.362,5.432,787.696,2.657,0.892,12.31
TMF-1,Ont,239,central stn,,2017-06-14,epi,,13.356,1.722,0.035,3.593,0.432,3.036,12.346,2.657,16.1,1.809,2.25,37.143,0.376,0.672,0.122,6.901
TMF-2,Ont,239,central stn,,2017-06-30,1,,15.896,0.767,0.028,1.358,0.487,1.091,0.588,0.468,465.1,1.104,0.853,8.823,7.308,2.013,0.596,1.879
TMF-266,Ont,239,,,2017-08-02,int epi,,14.806,3.487,0.041,12.884,1.464,7.416,11.369,4.036,3286.408,3.24,0.115,15.897,0.548,2.399,2.902,4.415
TMF-267,Ont,239,,,2017-09-09,1,,9.113,1.601,0.008,44.481,0.883,4.394,0.558,4.63,13.915,2.184,0.12,6.512,0.378,3.849,0.057,16.701
TMF-268,Ont,239,,,2017-09-09,10,,22.208,0.732,0.015,20.616,1.218,6.24,0.67,4.415,24.14,0.853,0.086,15.623,1.678,3.201,0.039,28.452
TMF-269,Ont,239,,,2017-09-09,20,,33.351,7.491,0.011,9.408,1.048,6.369,0.45,2.428,85.073,4.464,0.097,1.045,1.427,2.478,0.045,21.923
TMF-270,Ont,239,,,2017-09-09,30,,328.442,3.242,0.111,1.236,1.084,9.115,0.55,1.04,53.28,3.145,0.111,10.246,107.152,4.379,0.14,8.578
TMF-271,Ont,304,,,2017-09-12,1,,46.386,1.377,0.007,18.878,0.873,9.462,0.258,2.898,7.785,2.944,0.002,116.684,0.689,6.412,0.04,20.127
TMF-272,Ont,304,,,2017-09-12,5,,816.661,2.126,0.507,7.273,0.953,4.576,0.141,9.53,101.597,3.293,0.01,17.672,354.81,6.417,0.053,16.987
